account_id,owner_person_id,bank,opened_date,kyc_level
A000001,P000001,SBI,2019-08-26,min
A000002,P000002,PNB,2025-04-01,full
A000003,P000003,Bank of Baroda,2020-05-24,full
A000004,P000004,ICICI,2018-08-18,full
A000005,P000005,PNB,2020-07-07,full
A000006,P000006,ICICI,2018-06-21,full
A000007,P000007,SBI,2021-11-21,full
A000008,P000008,Kotak,2023-11-11,full
A000009,P000009,Kotak,2022-06-16,full
A000010,P000010,PNB,2020-12-22,full
A000011,P000011,HDFC,2021-09-23,full
A000012,P000012,HDFC,2024-01-24,full
A000013,P000013,Yes Bank,2022-06-07,min
A000014,P000014,HDFC,2025-09-29,full
A000015,P000015,ICICI,2024-02-14,full
A000016,P000016,Bank of Baroda,2023-06-06,full
A000017,P000017,ICICI,2022-03-02,full
A000018,P000018,SBI,2021-08-23,full
A000019,P000019,Kotak,2023-09-01,full
A000020,P000020,SBI,2018-09-14,full
A000021,P000021,Kotak,2018-08-05,full
A000022,P000022,Axis,2024-08-25,full
A000023,P000023,Yes Bank,2019-01-14,full
A000024,P000024,SBI,2020-01-24,full
A000025,P000025,Bank of Baroda,2021-04-21,full
A000026,P000026,Bank of Baroda,2019-12-11,full
A000027,P000027,HDFC,2019-08-07,min
A000028,P000028,Axis,2018-01-20,min
A000029,P000029,Yes Bank,2026-01-23,full
A000030,P000030,Yes Bank,2026-03-08,full
A000031,P000031,PNB,2019-12-22,full
A000032,P000032,Yes Bank,2021-07-18,full
A000033,P000033,HDFC,2026-04-15,full
A000034,P000034,SBI,2024-10-16,full
A000035,P000035,Kotak,2019-12-15,full
A000036,P000036,ICICI,2020-01-02,full
A000037,P000037,Bank of Baroda,2023-06-15,full
A000038,P000038,Yes Bank,2024-11-04,full
A000039,P000039,HDFC,2025-11-22,full
A000040,P000040,ICICI,2019-09-11,min
A000041,P000041,HDFC,2023-11-17,full
A000042,P000042,Axis,2018-08-03,full
A000043,P000043,HDFC,2025-12-19,full
A000044,P000044,ICICI,2026-02-06,full
A000045,P000045,PNB,2026-01-12,full
A000046,P000046,Kotak,2023-10-01,full
A000047,P000047,SBI,2023-03-07,full
A000048,P000048,ICICI,2018-08-22,full
A000049,P000049,Axis,2020-10-16,full
A000050,P000050,Bank of Baroda,2026-01-15,full
A000051,P000051,SBI,2024-04-21,full
A000052,P000052,SBI,2021-02-05,full
A000053,P000053,Kotak,2025-12-06,full
A000054,P000054,Bank of Baroda,2023-12-19,min
A000055,P000055,Kotak,2025-10-05,full
A000056,P000056,HDFC,2023-10-31,full
A000057,P000057,SBI,2020-07-22,min
A000058,P000058,PNB,2018-06-01,full
A000059,P000059,Bank of Baroda,2018-12-14,min
A000060,P000060,Axis,2026-02-11,min
A000061,P000061,Axis,2021-11-12,full
A000062,P000062,HDFC,2023-09-21,full
A000063,P000063,Bank of Baroda,2019-08-29,min
A000064,P000064,PNB,2023-12-05,full
A000065,P000065,Yes Bank,2024-07-18,full
A000066,P000066,ICICI,2018-04-14,full
A000067,P000067,ICICI,2024-08-27,min
A000068,P000068,PNB,2022-02-26,full
A000069,P000069,Yes Bank,2017-11-05,full
A000070,P000070,ICICI,2021-09-09,full
A000071,P000071,SBI,2022-12-30,full
A000072,P000072,Kotak,2019-12-26,full
A000073,P000073,Yes Bank,2018-07-13,full
A000074,P000074,Axis,2023-01-11,full
A000075,P000075,Kotak,2019-11-21,full
A000076,P000076,ICICI,2026-07-09,full
A000077,P000077,SBI,2026-01-06,min
A000078,P000078,Bank of Baroda,2025-10-23,full
A000079,P000079,Kotak,2019-04-06,full
A000080,P000080,Yes Bank,2019-01-07,full
A000081,P000081,Kotak,2023-11-22,full
A000082,P000082,SBI,2018-12-29,full
A000083,P000083,Kotak,2022-12-16,full
A000084,P000084,ICICI,2023-06-03,full
A000085,P000085,SBI,2022-03-13,full
A000086,P000086,HDFC,2023-10-31,full
A000087,P000087,Axis,2026-06-06,full
A000088,P000088,Yes Bank,2024-12-14,full
A000089,P000089,Axis,2022-11-08,full
A000090,P000090,HDFC,2023-11-22,full
A000091,P000091,Yes Bank,2024-10-06,full
A000092,P000092,Yes Bank,2021-08-07,full
A000093,P000093,SBI,2022-12-20,full
A000094,P000094,HDFC,2024-11-19,full
A000095,P000095,SBI,2020-08-26,full
A000096,P000096,HDFC,2018-07-09,full
A000097,P000097,SBI,2023-08-28,full
A000098,P000098,ICICI,2020-03-20,full
A000099,P000099,SBI,2019-04-15,min
A000100,P000100,PNB,2024-05-07,full
A000101,P000101,Kotak,2024-07-29,full
A000102,P000102,Kotak,2022-01-05,full
A000103,P000103,Axis,2018-08-02,full
A000104,P000104,Axis,2022-03-25,full
A000105,P000105,Yes Bank,2020-01-12,full
A000106,P000106,Axis,2019-08-01,full
A000107,P000107,ICICI,2020-04-01,full
A000108,P000108,Axis,2026-04-18,full
A000109,P000109,ICICI,2024-09-09,full
A000110,P000110,SBI,2019-02-26,full
A000111,P000111,ICICI,2020-04-05,full
A000112,P000112,SBI,2025-04-10,full
A000113,P000113,Kotak,2017-11-07,full
A000114,P000114,Bank of Baroda,2023-11-30,full
A000115,P000115,HDFC,2021-09-16,full
A000116,P000116,Bank of Baroda,2019-04-08,full
A000117,P000117,Yes Bank,2023-03-29,min
A000118,P000118,Yes Bank,2019-07-15,full
A000119,P000119,Yes Bank,2025-07-21,min
A000120,P000120,SBI,2019-06-22,full
A000121,P000121,SBI,2023-02-19,min
A000122,P000122,PNB,2019-12-21,min
A000123,P000123,Bank of Baroda,2024-09-29,min
A000124,P000124,PNB,2023-09-02,full
A000125,P000125,HDFC,2019-11-27,full
A000126,P000126,Bank of Baroda,2021-10-12,min
A000127,P000127,Axis,2021-04-29,full
A000128,P000128,ICICI,2020-01-18,full
A000129,P000129,Bank of Baroda,2023-07-08,full
A000130,P000130,SBI,2021-09-03,full
A000131,P000131,HDFC,2025-07-22,full
A000132,P000132,SBI,2018-08-20,full
A000133,P000133,Kotak,2025-11-08,full
A000134,P000134,Yes Bank,2024-11-09,min
A000135,P000135,Axis,2025-05-13,full
A000136,P000136,ICICI,2025-10-24,full
A000137,P000137,Axis,2023-11-21,full
A000138,P000138,Bank of Baroda,2019-06-06,min
A000139,P000139,ICICI,2021-09-20,full
A000140,P000140,PNB,2026-03-15,full
A000141,P000141,PNB,2026-01-06,full
A000142,P000142,Bank of Baroda,2026-02-25,full
A000143,P000143,SBI,2018-12-24,full
A000144,P000144,Axis,2022-03-24,full
A000145,P000145,Kotak,2018-04-24,full
A000146,P000146,SBI,2026-02-18,full
A000147,P000147,HDFC,2018-05-19,full
A000148,P000148,HDFC,2025-09-16,full
A000149,P000149,Yes Bank,2022-10-12,full
A000150,P000150,ICICI,2018-01-29,min
A000151,P000151,SBI,2021-05-17,full
A000152,P000152,Axis,2021-12-22,min
A000153,P000153,PNB,2023-02-02,full
A000154,P000154,SBI,2021-12-30,full
A000155,P000155,ICICI,2023-03-03,min
A000156,P000156,SBI,2025-10-04,full
A000157,P000157,Axis,2021-12-29,full
A000158,P000158,PNB,2023-06-25,full
A000159,P000159,Bank of Baroda,2020-10-21,full
A000160,P000160,ICICI,2026-04-29,full
A000161,P000161,Kotak,2022-12-21,full
A000162,P000162,PNB,2022-02-21,full
A000163,P000163,ICICI,2023-11-05,full
A000164,P000164,SBI,2022-06-02,full
A000165,P000165,Axis,2017-11-12,full
A000166,P000166,Bank of Baroda,2018-07-18,full
A000167,P000167,Yes Bank,2018-08-12,full
A000168,P000168,Bank of Baroda,2022-11-19,full
A000169,P000169,Yes Bank,2019-07-08,full
A000170,P000170,ICICI,2023-07-30,full
A000171,P000171,Yes Bank,2025-02-19,full
A000172,P000172,Yes Bank,2019-11-15,full
A000173,P000173,ICICI,2026-04-26,full
A000174,P000174,Bank of Baroda,2025-08-07,full
A000175,P000175,HDFC,2021-11-03,full
A000176,P000176,Axis,2023-11-28,full
A000177,P000177,SBI,2021-06-05,full
A000178,P000178,SBI,2024-04-29,full
A000179,P000179,Axis,2022-08-18,full
A000180,P000180,SBI,2023-07-18,min
A000181,P000181,PNB,2026-05-30,full
A000182,P000182,HDFC,2023-08-13,full
A000183,P000183,Yes Bank,2023-06-03,full
A000184,P000184,Yes Bank,2022-02-17,full
A000185,P000185,PNB,2022-01-06,min
A000186,P000186,PNB,2022-10-27,full
A000187,P000187,HDFC,2022-09-08,full
A000188,P000188,PNB,2023-07-21,full
A000189,P000189,Bank of Baroda,2024-04-24,full
A000190,P000190,HDFC,2020-12-20,min
A000191,P000191,PNB,2023-02-03,full
A000192,P000192,HDFC,2020-03-06,full
A000193,P000193,Yes Bank,2025-01-10,full
A000194,P000194,ICICI,2019-10-27,min
A000195,P000195,Axis,2019-03-21,full
A000196,P000196,Axis,2020-02-07,full
A000197,P000197,Yes Bank,2026-05-16,full
A000198,P000198,PNB,2023-04-17,full
A000199,P000199,Kotak,2017-12-12,min
A000200,P000200,HDFC,2021-02-19,full
A000201,P000201,PNB,2026-01-03,full
A000202,P000202,ICICI,2019-12-12,full
A000203,P000203,Axis,2018-10-26,full
A000204,P000204,PNB,2018-05-24,full
A000205,P000205,Kotak,2020-02-15,full
A000206,P000206,PNB,2018-11-19,full
A000207,P000207,ICICI,2026-06-25,full
A000208,P000208,ICICI,2024-07-26,min
A000209,P000209,Kotak,2021-04-08,full
A000210,P000210,SBI,2020-09-05,full
A000211,P000211,Axis,2025-06-19,full
A000212,P000212,Bank of Baroda,2020-08-04,full
A000213,P000213,ICICI,2020-12-03,full
A000214,P000214,Axis,2023-11-29,full
A000215,P000215,SBI,2023-12-05,full
A000216,P000216,Bank of Baroda,2022-03-06,full
A000217,P000217,Axis,2026-05-13,min
A000218,P000218,Kotak,2020-08-06,full
A000219,P000219,SBI,2026-07-05,full
A000220,P000220,Yes Bank,2021-08-05,full
A000221,P000221,Yes Bank,2021-02-27,full
A000222,P000222,Axis,2024-08-16,full
A000223,P000223,ICICI,2026-05-19,min
A000224,P000224,HDFC,2026-07-16,full
A000225,P000225,Axis,2020-03-05,full
A000226,P000226,Axis,2026-06-21,full
A000227,P000227,Bank of Baroda,2023-11-27,full
A000228,P000228,HDFC,2026-06-28,full
A000229,P000229,SBI,2026-05-24,full
A000230,P000230,PNB,2024-11-17,full
A000231,P000231,PNB,2023-09-30,full
A000232,P000232,ICICI,2026-04-25,full
A000233,P000233,Kotak,2022-09-29,full
A000234,P000234,PNB,2022-08-15,full
A000235,P000235,HDFC,2019-01-09,full
A000236,P000236,PNB,2026-06-17,full
A000237,P000237,Kotak,2023-04-24,full
A000238,P000238,Yes Bank,2020-01-02,full
A000239,P000239,ICICI,2018-07-16,full
A000240,P000240,Yes Bank,2021-04-24,full
A000241,P000241,HDFC,2020-05-29,min
A000242,P000242,PNB,2019-06-10,full
A000243,P000243,Kotak,2021-02-21,min
A000244,P000244,PNB,2024-10-16,full
A000245,P000245,SBI,2018-12-08,full
A000246,P000246,Axis,2020-11-10,full
A000247,P000247,SBI,2017-10-23,full
A000248,P000248,ICICI,2022-09-21,full
A000249,P000249,Bank of Baroda,2020-07-07,full
A000250,P000250,ICICI,2020-09-15,full
A000251,P000251,Bank of Baroda,2024-05-03,min
A000252,P000252,PNB,2025-02-14,full
A000253,P000253,PNB,2022-07-05,min
A000254,P000254,HDFC,2026-04-13,full
A000255,P000255,Axis,2019-10-23,min
A000256,P000256,Yes Bank,2025-03-06,full
A000257,P000257,SBI,2018-12-21,min
A000258,P000258,Bank of Baroda,2025-11-25,full
A000259,P000259,ICICI,2018-02-10,full
A000260,P000260,SBI,2021-09-02,full
A000261,P000261,ICICI,2025-05-17,full
A000262,P000262,Yes Bank,2022-10-20,full
A000263,P000263,PNB,2022-07-13,full
A000264,P000264,PNB,2019-12-29,full
A000265,P000265,Kotak,2026-01-24,full
A000266,P000266,Yes Bank,2026-04-27,full
A000267,P000267,Kotak,2019-01-31,min
A000268,P000268,PNB,2022-12-06,full
A000269,P000269,SBI,2021-12-27,min
A000270,P000270,ICICI,2025-09-16,full
A000271,P000271,ICICI,2018-12-21,min
A000272,P000272,Axis,2020-04-19,full
A000273,P000273,PNB,2024-11-10,full
A000274,P000274,ICICI,2026-02-03,full
A000275,P000275,ICICI,2021-12-09,full
A000276,P000276,ICICI,2022-08-03,min
A000277,P000277,Bank of Baroda,2023-06-08,full
A000278,P000278,PNB,2024-07-14,full
A000279,P000279,Bank of Baroda,2019-07-11,full
A000280,P000280,ICICI,2023-04-04,full
A000281,P000281,ICICI,2024-03-16,min
A000282,P000282,ICICI,2023-06-03,full
A000283,P000283,SBI,2020-12-25,full
A000284,P000284,Yes Bank,2020-03-07,full
A000285,P000285,Bank of Baroda,2026-04-27,full
A000286,P000286,ICICI,2022-03-26,full
A000287,P000287,SBI,2018-06-17,full
A000288,P000288,SBI,2026-03-05,full
A000289,P000289,ICICI,2025-01-27,min
A000290,P000290,ICICI,2022-08-22,full
A000291,P000291,Axis,2022-02-04,full
A000292,P000292,Bank of Baroda,2021-11-18,min
A000293,P000293,Bank of Baroda,2018-12-03,full
A000294,P000294,PNB,2018-08-05,full
A000295,P000295,Axis,2017-10-25,full
A000296,P000296,Yes Bank,2025-11-03,full
A000297,P000297,Kotak,2026-01-14,full
A000298,P000298,PNB,2019-09-18,full
A000299,P000299,Kotak,2018-05-12,full
A000300,P000300,Bank of Baroda,2020-01-24,full
A000301,P000301,PNB,2023-11-02,full
A000302,P000302,Yes Bank,2021-02-11,full
A000303,P000303,SBI,2020-09-19,full
A000304,P000304,ICICI,2021-04-11,full
A000305,P000305,Yes Bank,2026-06-21,full
A000306,P000306,ICICI,2018-01-16,min
A000307,P000307,Bank of Baroda,2022-07-11,full
A000308,P000308,Bank of Baroda,2026-01-03,full
A000309,P000309,Yes Bank,2022-11-05,full
A000310,P000310,HDFC,2022-08-10,full
A000311,P000311,Yes Bank,2022-07-26,full
A000312,P000312,ICICI,2025-06-05,full
A000313,P000313,Bank of Baroda,2020-07-31,full
A000314,P000314,Yes Bank,2020-07-24,full
A000315,P000315,Bank of Baroda,2024-04-08,full
A000316,P000316,Yes Bank,2024-10-01,full
A000317,P000317,SBI,2026-01-22,full
A000318,P000318,HDFC,2024-12-27,full
A000319,P000319,Axis,2018-11-10,full
A000320,P000320,ICICI,2026-01-30,full
A000321,P000321,Axis,2018-12-21,min
A000322,P000322,SBI,2023-11-20,full
A000323,P000323,SBI,2021-02-26,full
A000324,P000324,SBI,2020-10-06,full
A000325,P000325,Bank of Baroda,2022-05-14,full
A000326,P000326,Bank of Baroda,2022-01-20,full
A000327,P000327,Yes Bank,2025-05-23,full
A000328,P000328,ICICI,2026-02-19,full
A000329,P000329,Axis,2020-01-05,full
A000330,P000330,ICICI,2022-04-25,full
A000331,P000331,Yes Bank,2023-04-12,full
A000332,P000332,SBI,2025-09-20,full
A000333,P000333,Axis,2019-08-22,full
A000334,P000334,ICICI,2018-09-15,full
A000335,P000335,HDFC,2022-05-17,full
A000336,P000336,Kotak,2023-12-17,full
A000337,P000337,Yes Bank,2023-09-28,full
A000338,P000338,Kotak,2017-12-07,full
A000339,P000339,Bank of Baroda,2019-11-30,min
A000340,P000340,ICICI,2025-11-04,full
A000341,P000341,SBI,2018-07-12,full
A000342,P000342,SBI,2018-06-23,full
A000343,P000343,Bank of Baroda,2022-09-12,full
A000344,P000344,PNB,2023-04-30,full
A000345,P000345,SBI,2018-09-28,full
A000346,P000346,Yes Bank,2021-07-30,full
A000347,P000347,Axis,2023-01-26,full
