device_id,os
D000001,Android
D000002,iOS
D000003,Android
D000004,Android
D000005,Android
D000006,iOS
D000007,Android
D000008,Android
D000009,Android
D000010,Android
D000011,Android
D000012,iOS
D000013,Android
D000014,Android
D000015,iOS
D000016,Android
D000017,Android
D000018,Android
D000019,Android
D000020,Android
D000021,Android
D000022,Android
D000023,Android
D000024,iOS
D000025,Android
D000026,Android
D000027,Android
D000028,iOS
D000029,Android
D000030,Android
D000031,Android
D000032,Android
D000033,Android
D000034,Android
D000035,Android
D000036,Android
D000037,Android
D000038,Android
D000039,Android
D000040,Android
D000041,Android
D000042,Android
D000043,iOS
D000044,iOS
D000045,Android
D000046,Android
D000047,Android
D000048,Android
D000049,Android
D000050,Android
D000051,Android
D000052,Android
D000053,iOS
D000054,Android
D000055,iOS
D000056,iOS
D000057,Android
D000058,iOS
D000059,Android
D000060,iOS
D000061,Android
D000062,iOS
D000063,Android
D000064,Android
D000065,iOS
D000066,Android
D000067,Android
D000068,Android
D000069,iOS
D000070,iOS
D000071,Android
D000072,Android
D000073,Android
D000074,Android
D000075,Android
D000076,Android
D000077,iOS
D000078,Android
D000079,iOS
D000080,iOS
D000081,Android
D000082,iOS
D000083,Android
D000084,Android
D000085,Android
D000086,Android
D000087,iOS
D000088,Android
D000089,Android
D000090,iOS
D000091,iOS
D000092,Android
D000093,Android
D000094,Android
D000095,iOS
D000096,Android
D000097,iOS
D000098,Android
D000099,Android
D000100,Android
D000101,Android
D000102,iOS
D000103,Android
D000104,Android
D000105,Android
D000106,Android
D000107,Android
D000108,iOS
D000109,Android
D000110,Android
D000111,Android
D000112,iOS
D000113,Android
D000114,Android
D000115,Android
D000116,Android
D000117,Android
D000118,Android
D000119,Android
D000120,Android
D000121,Android
D000122,Android
D000123,Android
D000124,Android
D000125,iOS
D000126,Android
D000127,Android
D000128,Android
D000129,Android
D000130,Android
D000131,Android
D000132,Android
D000133,Android
D000134,iOS
D000135,Android
D000136,Android
D000137,Android
D000138,Android
D000139,Android
D000140,Android
D000141,Android
D000142,Android
D000143,Android
D000144,Android
D000145,Android
D000146,Android
D000147,Android
D000148,iOS
D000149,Android
D000150,Android
D000151,Android
D000152,Android
D000153,Android
D000154,Android
D000155,Android
D000156,Android
D000157,iOS
D000158,Android
D000159,Android
D000160,Android
D000161,Android
D000162,Android
D000163,Android
D000164,Android
D000165,iOS
D000166,Android
D000167,Android
D000168,Android
D000169,Android
D000170,Android
D000171,iOS
D000172,Android
D000173,Android
D000174,Android
D000175,Android
D000176,Android
D000177,iOS
D000178,Android
D000179,Android
D000180,Android
D000181,Android
D000182,iOS
D000183,iOS
D000184,iOS
D000185,Android
D000186,iOS
D000187,Android
D000188,Android
D000189,iOS
D000190,iOS
D000191,Android
D000192,Android
D000193,Android
D000194,Android
D000195,Android
D000196,iOS
D000197,Android
D000198,Android
D000199,Android
D000200,Android
D000201,Android
D000202,iOS
D000203,Android
D000204,Android
D000205,Android
D000206,iOS
D000207,Android
D000208,Android
D000209,iOS
D000210,Android
D000211,iOS
D000212,iOS
D000213,Android
D000214,Android
D000215,Android
D000216,iOS
D000217,Android
D000218,Android
D000219,Android
D000220,Android
D000221,Android
D000222,iOS
D000223,Android
D000224,Android
D000225,Android
D000226,iOS
D000227,iOS
D000228,Android
D000229,Android
D000230,Android
D000231,Android
D000232,Android
D000233,Android
D000234,Android
D000235,iOS
D000236,Android
D000237,iOS
D000238,Android
D000239,Android
D000240,Android
D000241,Android
D000242,Android
D000243,Android
D000244,Android
D000245,Android
D000246,Android
D000247,Android
D000248,Android
D000249,Android
D000250,Android
D000251,iOS
D000252,iOS
D000253,Android
D000254,Android
D000255,Android
D000256,iOS
D000257,Android
D000258,Android
D000259,iOS
D000260,Android
D000261,iOS
D000262,Android
D000263,Android
D000264,Android
D000265,Android
D000266,Android
D000267,Android
D000268,iOS
D000269,Android
D000270,Android
D000271,Android
D000272,iOS
D000273,Android
D000274,Android
D000275,Android
D000276,Android
D000277,Android
D000278,Android
D000279,Android
D000280,Android
D000281,Android
D000282,iOS
D000283,Android
D000284,Android
D000285,iOS
D000286,iOS
D000287,Android
D000288,Android
D000289,Android
D000290,Android
D000291,Android
D000292,Android
D000293,Android
D000294,Android
D000295,Android
D000296,Android
D000297,iOS
D000298,iOS
D000299,Android
D000300,iOS
D000301,Android
D000302,Android
D000303,Android
D000304,iOS
D000305,Android
D000306,Android
D000307,Android
D000308,Android
D000309,Android
D000310,Android
D000311,Android
D000312,Android
D000313,Android
D000314,iOS
D000315,iOS
D000316,Android
D000317,Android
D000318,Android
D000319,Android
D000320,iOS
D000321,Android
D000322,Android
D000323,Android
D000324,Android
D000325,iOS
D000326,Android
D000327,Android
D000328,iOS
D000329,iOS
D000330,Android
D000331,Android
D000332,Android
D000333,Android
D000334,iOS
D000335,Android
D000336,Android
D000337,Android
D000338,Android
D000339,Android
D000340,iOS
D000341,iOS
D000342,Android
D000343,Android
D000344,iOS
D000345,Android
D000346,Android
D000347,Android
D000348,Android
D000349,iOS
D000350,Android
D000351,Android
D000352,Android
D000353,Android
D000354,Android
D000355,Android
D000356,Android
D000357,Android
D000358,Android
D000359,iOS
D000360,Android
D000361,Android
D000362,Android
D000363,Android
D000364,iOS
D000365,Android
D000366,Android
D000367,iOS
D000368,Android
D000369,Android
D000370,Android
D000371,iOS
D000372,Android
D000373,Android
D000374,Android
D000375,Android
D000376,Android
D000377,Android
D000378,Android
D000379,Android
D000380,Android
D000381,Android
D000382,iOS
D000383,Android
D000384,Android
D000385,Android
D000386,Android
D000387,Android
D000388,Android
D000389,Android
D000390,Android
D000391,iOS
D000392,Android
D000393,Android
D000394,Android
D000395,Android
D000396,iOS
D000397,Android
D000398,Android
D000399,Android
