person_id,is_fraud,role,ring_id
P000001,0,normal,
P000002,0,normal,
P000003,0,normal,
P000004,0,normal,
P000005,0,normal,
P000006,0,normal,
P000007,0,normal,
P000008,0,normal,
P000009,0,normal,
P000010,0,normal,
P000011,0,normal,
P000012,0,normal,
P000013,0,normal,
P000014,0,normal,
P000015,0,normal,
P000016,0,normal,
P000017,0,normal,
P000018,0,normal,
P000019,0,normal,
P000020,0,normal,
P000021,0,normal,
P000022,0,normal,
P000023,0,normal,
P000024,0,normal,
P000025,0,normal,
P000026,0,normal,
P000027,0,normal,
P000028,0,normal,
P000029,0,normal,
P000030,0,normal,
P000031,0,normal,
P000032,0,normal,
P000033,0,normal,
P000034,0,normal,
P000035,0,normal,
P000036,0,normal,
P000037,0,normal,
P000038,0,normal,
P000039,0,normal,
P000040,0,normal,
P000041,0,normal,
P000042,0,normal,
P000043,0,normal,
P000044,0,normal,
P000045,0,normal,
P000046,0,normal,
P000047,0,normal,
P000048,0,normal,
P000049,0,normal,
P000050,0,normal,
P000051,0,normal,
P000052,0,normal,
P000053,0,normal,
P000054,0,normal,
P000055,0,normal,
P000056,0,normal,
P000057,0,normal,
P000058,0,normal,
P000059,0,normal,
P000060,0,normal,
P000061,0,normal,
P000062,0,normal,
P000063,0,normal,
P000064,0,normal,
P000065,0,normal,
P000066,0,normal,
P000067,0,normal,
P000068,0,normal,
P000069,0,normal,
P000070,0,normal,
P000071,0,normal,
P000072,0,normal,
P000073,0,normal,
P000074,0,normal,
P000075,0,normal,
P000076,0,normal,
P000077,0,normal,
P000078,0,normal,
P000079,0,normal,
P000080,0,normal,
P000081,0,normal,
P000082,0,normal,
P000083,0,normal,
P000084,0,normal,
P000085,0,normal,
P000086,0,normal,
P000087,0,normal,
P000088,0,normal,
P000089,0,normal,
P000090,0,normal,
P000091,0,normal,
P000092,0,normal,
P000093,0,normal,
P000094,0,normal,
P000095,0,normal,
P000096,0,normal,
P000097,0,normal,
P000098,0,normal,
P000099,0,normal,
P000100,0,normal,
P000101,0,normal,
P000102,0,normal,
P000103,0,normal,
P000104,0,normal,
P000105,0,normal,
P000106,0,normal,
P000107,0,normal,
P000108,0,normal,
P000109,0,normal,
P000110,0,normal,
P000111,0,normal,
P000112,0,normal,
P000113,0,normal,
P000114,0,normal,
P000115,0,normal,
P000116,0,normal,
P000117,0,normal,
P000118,0,normal,
P000119,0,normal,
P000120,0,normal,
P000121,0,normal,
P000122,0,normal,
P000123,0,normal,
P000124,0,normal,
P000125,0,normal,
P000126,0,normal,
P000127,0,normal,
P000128,0,normal,
P000129,0,normal,
P000130,0,normal,
P000131,0,normal,
P000132,0,normal,
P000133,0,normal,
P000134,0,normal,
P000135,0,normal,
P000136,0,normal,
P000137,0,normal,
P000138,0,normal,
P000139,0,normal,
P000140,0,normal,
P000141,0,normal,
P000142,0,normal,
P000143,0,normal,
P000144,0,normal,
P000145,0,normal,
P000146,0,normal,
P000147,0,normal,
P000148,0,normal,
P000149,0,normal,
P000150,0,normal,
P000151,0,normal,
P000152,0,normal,
P000153,0,normal,
P000154,0,normal,
P000155,0,normal,
P000156,0,normal,
P000157,0,normal,
P000158,0,normal,
P000159,0,normal,
P000160,0,normal,
P000161,0,normal,
P000162,0,normal,
P000163,0,normal,
P000164,0,normal,
P000165,0,normal,
P000166,0,normal,
P000167,0,normal,
P000168,0,normal,
P000169,0,normal,
P000170,0,normal,
P000171,0,normal,
P000172,0,normal,
P000173,0,normal,
P000174,0,normal,
P000175,0,normal,
P000176,0,normal,
P000177,0,normal,
P000178,0,normal,
P000179,0,normal,
P000180,0,normal,
P000181,0,normal,
P000182,0,normal,
P000183,0,normal,
P000184,0,normal,
P000185,0,normal,
P000186,0,normal,
P000187,0,normal,
P000188,0,normal,
P000189,0,normal,
P000190,0,normal,
P000191,0,normal,
P000192,0,normal,
P000193,0,normal,
P000194,0,normal,
P000195,0,normal,
P000196,0,normal,
P000197,0,normal,
P000198,0,normal,
P000199,0,normal,
P000200,0,normal,
P000201,0,normal,
P000202,0,normal,
P000203,0,normal,
P000204,0,normal,
P000205,0,normal,
P000206,0,normal,
P000207,0,normal,
P000208,0,normal,
P000209,0,normal,
P000210,0,normal,
P000211,0,normal,
P000212,0,normal,
P000213,0,normal,
P000214,0,normal,
P000215,0,normal,
P000216,0,normal,
P000217,0,normal,
P000218,0,normal,
P000219,0,normal,
P000220,0,normal,
P000221,0,normal,
P000222,0,normal,
P000223,0,normal,
P000224,0,normal,
P000225,0,normal,
P000226,0,normal,
P000227,0,normal,
P000228,0,normal,
P000229,0,normal,
P000230,0,normal,
P000231,0,normal,
P000232,0,normal,
P000233,0,normal,
P000234,0,normal,
P000235,0,normal,
P000236,0,normal,
P000237,0,normal,
P000238,0,normal,
P000239,0,normal,
P000240,0,normal,
P000241,0,normal,
P000242,0,normal,
P000243,0,normal,
P000244,0,normal,
P000245,0,normal,
P000246,0,normal,
P000247,0,normal,
P000248,0,normal,
P000249,0,normal,
P000250,0,normal,
P000251,0,normal,
P000252,0,normal,
P000253,0,normal,
P000254,0,normal,
P000255,0,normal,
P000256,0,normal,
P000257,0,normal,
P000258,0,normal,
P000259,0,normal,
P000260,0,normal,
P000261,0,normal,
P000262,0,normal,
P000263,0,normal,
P000264,0,normal,
P000265,0,normal,
P000266,0,normal,
P000267,0,normal,
P000268,0,normal,
P000269,0,normal,
P000270,0,normal,
P000271,0,normal,
P000272,0,normal,
P000273,0,normal,
P000274,0,normal,
P000275,0,normal,
P000276,0,normal,
P000277,0,normal,
P000278,0,normal,
P000279,0,normal,
P000280,0,normal,
P000281,0,normal,
P000282,0,normal,
P000283,0,normal,
P000284,0,normal,
P000285,0,normal,
P000286,0,normal,
P000287,0,normal,
P000288,0,normal,
P000289,0,normal,
P000290,0,normal,
P000291,0,normal,
P000292,0,normal,
P000293,0,normal,
P000294,0,normal,
P000295,0,normal,
P000296,0,normal,
P000297,0,normal,
P000298,0,normal,
P000299,0,normal,
P000300,0,normal,
P000301,0,normal,
P000302,0,normal,
P000303,0,normal,
P000304,0,normal,
P000305,0,normal,
P000306,0,normal,
P000307,0,normal,
P000308,0,normal,
P000309,0,normal,
P000310,0,normal,
P000311,0,normal,
P000312,0,normal,
P000313,0,normal,
P000314,0,normal,
P000315,0,normal,
P000316,0,normal,
P000317,0,normal,
P000318,0,normal,
P000319,0,normal,
P000320,0,normal,
